kH,c_analytical
2.810301003344481519e+00,2.003793640051318992e+00
2.813616325551050679e+00,2.003177257525083466e+00
2.817299155550308409e+00,2.002508361204013099e+00
2.818595317725752558e+00,2.002276349832432523e+00
2.820959919658073911e+00,2.001839464882943176e+00
2.824650829047179013e+00,2.001170568561872809e+00
2.826889632107023598e+00,2.000772292610664582e+00
2.828363726174725645e+00,2.000501672240802442e+00
2.832064212835772921e+00,1.999832775919732297e+00
2.835183946488294193e+00,1.999281277503043963e+00
2.835827607581638432e+00,1.999163879598662152e+00
2.839539182081923574e+00,1.998494983277591786e+00
2.843345396751741472e+00,1.997826086956521641e+00
2.843478260869565233e+00,1.997802968454919004e+00
2.847075688694308937e+00,1.997157190635451496e+00
2.850895226010989880e+00,1.996488294314381129e+00
2.851772575250836717e+00,1.996336643791558174e+00
2.854673761395988940e+00,1.995819397993311206e+00
2.858508232496399515e+00,1.995150501672240395e+00
2.860066889632107312e+00,1.994882905509431925e+00
2.862333506051675691e+00,1.994481605351170472e+00
2.866184545611980994e+00,1.993812709030100105e+00
2.868361204013377908e+00,1.993441588042837997e+00
2.870055106254044475e+00,1.993143812709029961e+00
2.873924375877830784e+00,1.992474916387960038e+00
2.876655518394648947e+00,1.992012531981284251e+00
2.877838824173414523e+00,1.991806020066889449e+00
2.881728015892547567e+00,1.991137123745819526e+00
2.884949832775919543e+00,1.990595583932839086e+00
2.885685001677504857e+00,1.990468227424749159e+00
2.889595841581955149e+00,1.989799331103678792e+00
2.893244147157190582e+00,1.989190596397061528e+00
2.893594061729031441e+00,1.989130434782608647e+00
2.897528313743828576e+00,1.988461538461538058e+00
2.901538461538461622e+00,1.987797427647374215e+00
2.901566510071264648e+00,1.987792642140468136e+00
2.905525979899303390e+00,1.987123745819397991e+00
2.909592020748931862e+00,1.986454849498327624e+00
2.909832775919732661e+00,1.986415674098912287e+00
2.913589476464409245e+00,1.985785953177257479e+00
2.917683966561344544e+00,1.985117056856187112e+00
2.918127090301003257e+00,1.985045517140633375e+00
2.921719531257157776e+00,1.984448160535116967e+00
2.925844464230423103e+00,1.983779264214046822e+00
2.926421404682274297e+00,1.983686864607930200e+00
2.929916966358135255e+00,1.983110367892976456e+00
2.934074394605377556e+00,1.982441471571906311e+00
2.934715719063545336e+00,1.982339597057088953e+00
2.938182701345125825e+00,1.981772575250836166e+00
2.942374741200238120e+00,1.981103678929766021e+00
2.943010033444815932e+00,1.981003600456990643e+00
